new_index,index,created_at,entry_id,temp,ph,ammonia
5562,6062,2023-08-04 05:34:34+00:00,6063,30.12,7.93,0.000404544
5563,6063,2023-08-04 05:35:35+00:00,6064,30.06,7.91,0.000388811
5564,6064,2023-08-04 05:36:35+00:00,6065,30.06,7.92,0.000397868
5565,6065,2023-08-04 05:37:36+00:00,6066,30.06,7.91,0.000388811
5566,6066,2023-08-04 05:38:36+00:00,6067,30.06,7.95,0.000426323
5567,6067,2023-08-04 05:39:37+00:00,6068,30.06,7.94,0.000416618
5568,6068,2023-08-04 05:40:38+00:00,6069,30.06,7.94,0.000416618
5569,6069,2023-08-04 05:41:38+00:00,6070,30.06,7.93,0.000407135
5570,6070,2023-08-04 05:42:39+00:00,6071,30.06,7.96,0.000436253
5571,6071,2023-08-04 05:43:40+00:00,6072,30.06,7.98,0.000456813
5572,6072,2023-08-04 05:44:40+00:00,6073,30.06,7.96,0.000436253
5573,6073,2023-08-04 05:45:41+00:00,6074,30.06,7.97,0.000446415
5574,6074,2023-08-04 05:46:41+00:00,6075,30.12,8,0.000475298
5575,6075,2023-08-04 05:47:42+00:00,6076,30.06,7.98,0.000456813
5576,6076,2023-08-04 05:48:43+00:00,6077,30.06,7.95,0.000426323
5577,6077,2023-08-04 05:49:43+00:00,6078,30.12,7.93,0.000404544
5578,6078,2023-08-04 05:50:44+00:00,6079,30.12,7.94,0.000413967
5579,6079,2023-08-04 05:51:45+00:00,6080,30.12,7.99,0.000464479
5580,6080,2023-08-04 05:52:45+00:00,6081,30.12,8.02,0.000497698
5581,6081,2023-08-04 05:53:46+00:00,6082,30.06,8.03,0.000512553
5582,6082,2023-08-04 05:54:47+00:00,6083,30.06,8.02,0.000500886
5583,6083,2023-08-04 05:55:47+00:00,6084,30.06,7.96,0.000436253
5584,6084,2023-08-04 05:56:48+00:00,6085,30,7.97,0.000449272
5585,6085,2023-08-04 05:57:48+00:00,6086,30.06,7.99,0.000467454
5586,6086,2023-08-04 05:58:49+00:00,6087,30.12,8.01,0.000486369
5587,6087,2023-08-04 05:59:50+00:00,6088,30.06,7.95,0.000426323
5588,6088,2023-08-04 06:00:51+00:00,6089,30.06,7.92,0.000397868
5589,6089,2023-08-04 06:01:51+00:00,6090,30.06,7.95,0.000426323
5590,6090,2023-08-04 06:02:52+00:00,6091,30.06,7.96,0.000436253
5591,6091,2023-08-04 06:03:52+00:00,6092,30.12,8,0.000475298
5592,6092,2023-08-04 06:04:58+00:00,6093,30.12,7.96,0.000433477
5593,6093,2023-08-04 06:05:59+00:00,6094,30.12,7.99,0.000464479
