new_index,index,created_at,entry_id,temp,ph,ammonia
2877,2877,2023-08-01 22:59:58+00:00,2878,27.75,7.69,0.000298847
2878,2878,2023-08-01 23:00:59+00:00,2879,27.75,7.64,0.000266348
2879,2879,2023-08-01 23:02:00+00:00,2880,27.81,7.68,0.000290221
2880,2880,2023-08-01 23:03:00+00:00,2881,27.75,7.69,0.000298847
2881,2881,2023-08-01 23:04:01+00:00,2882,27.75,7.7,0.000305808
2882,2882,2023-08-01 23:05:02+00:00,2883,27.75,7.69,0.000298847
2883,2883,2023-08-01 23:06:02+00:00,2884,27.75,7.69,0.000298847
2884,2884,2023-08-01 23:07:03+00:00,2885,27.81,7.68,0.000290221
2885,2885,2023-08-01 23:08:04+00:00,2886,27.75,7.7,0.000305808
2886,2886,2023-08-01 23:09:04+00:00,2887,27.81,7.7,0.000303899
2887,2887,2023-08-01 23:10:05+00:00,2888,27.81,7.65,0.00027085
2888,2888,2023-08-01 23:11:08+00:00,2889,27.81,7.68,0.000290221
2889,2889,2023-08-01 23:12:08+00:00,2890,27.81,7.67,0.000283615
2890,2890,2023-08-01 23:13:09+00:00,2891,27.75,7.67,0.000285397
2891,2891,2023-08-01 23:14:10+00:00,2892,27.81,7.71,0.000310977
2892,2892,2023-08-01 23:15:10+00:00,2893,27.81,7.69,0.000296981
2893,2893,2023-08-01 23:16:11+00:00,2894,27.75,7.7,0.000305808
2894,2894,2023-08-01 23:17:12+00:00,2895,27.81,7.68,0.000290221
2895,2895,2023-08-01 23:18:12+00:00,2896,27.81,7.7,0.000303899
2896,2896,2023-08-01 23:19:13+00:00,2897,27.81,7.7,0.000303899
2897,2897,2023-08-01 23:20:14+00:00,2898,27.81,7.7,0.000303899
2898,2898,2023-08-01 23:21:14+00:00,2899,27.81,7.7,0.000303899
2899,2899,2023-08-01 23:22:15+00:00,2900,27.81,7.69,0.000296981
2900,2900,2023-08-01 23:23:15+00:00,2901,27.81,7.71,0.000310977
2901,2901,2023-08-01 23:24:16+00:00,2902,27.81,7.69,0.000296981
2902,2902,2023-08-01 23:25:17+00:00,2903,27.81,7.7,0.000303899
2903,2903,2023-08-01 23:26:17+00:00,2904,27.81,7.69,0.000296981
2904,2904,2023-08-01 23:27:18+00:00,2905,27.81,7.69,0.000296981
2905,2905,2023-08-01 23:28:19+00:00,2906,27.87,7.68,0.000288408
2906,2906,2023-08-01 23:29:19+00:00,2907,27.81,7.69,0.000296981
2907,2907,2023-08-01 23:30:20+00:00,2908,27.81,7.67,0.000283615
2908,2908,2023-08-01 23:31:20+00:00,2909,27.81,7.69,0.000296981
2909,2909,2023-08-01 23:32:21+00:00,2910,27.81,7.69,0.000296981
2910,2910,2023-08-01 23:33:22+00:00,2911,27.75,7.7,0.000305808
2911,2911,2023-08-01 23:34:22+00:00,2912,27.81,7.7,0.000303899
2912,2912,2023-08-01 23:35:23+00:00,2913,27.81,7.7,0.000303899
2913,2913,2023-08-01 23:36:23+00:00,2914,27.81,7.7,0.000303899
2914,2914,2023-08-01 23:37:24+00:00,2915,27.81,7.7,0.000303899
2915,2915,2023-08-01 23:38:25+00:00,2916,27.81,7.68,0.000290221
2916,2916,2023-08-01 23:39:25+00:00,2917,27.81,7.71,0.000310977
2917,2917,2023-08-01 23:40:26+00:00,2918,27.81,7.72,0.000318221
2918,2918,2023-08-01 23:41:26+00:00,2919,27.81,7.71,0.000310977
2919,2919,2023-08-01 23:42:27+00:00,2920,27.75,7.71,0.000312932
2920,2920,2023-08-01 23:43:28+00:00,2921,27.81,7.71,0.000310977
2921,2921,2023-08-01 23:44:28+00:00,2922,27.81,7.69,0.000296981
2922,2922,2023-08-01 23:45:29+00:00,2923,27.87,7.7,0.000302
2923,2923,2023-08-01 23:46:29+00:00,2924,27.81,7.7,0.000303899
2924,2924,2023-08-01 23:47:30+00:00,2925,27.81,7.71,0.000310977
2925,2925,2023-08-01 23:48:31+00:00,2926,27.87,7.71,0.000309035
2926,2926,2023-08-01 23:49:31+00:00,2927,27.81,7.71,0.000310977
2927,2927,2023-08-01 23:50:32+00:00,2928,27.87,7.72,0.000316233
2928,2928,2023-08-01 23:51:32+00:00,2929,27.87,7.71,0.000309035
2929,2929,2023-08-01 23:52:33+00:00,2930,27.81,7.69,0.000296981
2930,2930,2023-08-01 23:53:34+00:00,2931,27.87,7.7,0.000302
2931,2931,2023-08-01 23:54:34+00:00,2932,27.81,7.68,0.000290221
2932,2932,2023-08-01 23:55:35+00:00,2933,27.87,7.68,0.000288408
2933,2933,2023-08-01 23:56:35+00:00,2934,27.87,7.68,0.000288408
2934,2934,2023-08-01 23:57:36+00:00,2935,27.87,7.68,0.000288408
2935,2935,2023-08-01 23:58:36+00:00,2936,27.87,7.7,0.000302
2936,2936,2023-08-01 23:59:37+00:00,2937,27.94,7.7,0.000299799
2937,2937,2023-08-02 00:00:37+00:00,2938,27.94,7.69,0.000292975
2938,2938,2023-08-02 00:01:38+00:00,2939,27.87,7.7,0.000302
