,new_index,temp,ph
61701,61701,30.87,6.99
61702,61702,30.87,7.01
61703,61703,30.87,7.02
61704,61704,30.87,7.03
61705,61705,30.87,7.08
61706,61706,30.87,7.05
61707,61707,30.87,7.06
61708,61708,30.87,7.11
61709,61709,30.87,7.13
61710,61710,30.87,7.13
61711,61711,30.87,7.15
61712,61712,30.87,7.13
61713,61713,30.87,7.18
61714,61714,30.81,7.18
61715,61715,30.81,7.1
61716,61716,30.87,7.13
61717,61717,30.81,7.12
61718,61718,30.87,7.1
61719,61719,30.75,7.18
61720,61720,30.81,7.19
61721,61721,30.81,7.19
61722,61722,30.81,7.17
61723,61723,30.81,7.19
61724,61724,30.81,7.22
61725,61725,30.81,7.19
61726,61726,30.81,7.16
61727,61727,30.81,7.22
61728,61728,30.81,7.24
61729,61729,30.81,7.24
61730,61730,30.81,7.19
61731,61731,30.81,7.27
61732,61732,30.75,7.26
61733,61733,30.87,7.26
61734,61734,30.81,7.26
61735,61735,30.81,7.26
61736,61736,30.81,7.26
61737,61737,30.81,7.28
61738,61738,30.81,7.3
61739,61739,30.81,7.27
61740,61740,30.75,7.28
61741,61741,30.81,7.27
61742,61742,30.81,7.31
61743,61743,30.81,7.32
61744,61744,30.81,7.31
61745,61745,30.75,7.31
61746,61746,30.81,7.31
61747,61747,30.75,7.31
61748,61748,30.75,7.34
61749,61749,30.75,7.32
61750,61750,30.81,7.35
61751,61751,30.75,7.35
61752,61752,30.81,7.37
61753,61753,30.81,7.34
61754,61754,30.81,7.36
61755,61755,30.81,7.36
61756,61756,30.81,7.34
61757,61757,30.81,7.37
61758,61758,30.81,7.37
61759,61759,30.75,7.38
61760,61760,30.75,7.37
61761,61761,30.75,7.37
61762,61762,30.75,7.35
61763,61763,30.75,7.35
61764,61764,30.81,7.34
61765,61765,30.69,7.38
61766,61766,30.81,7.36
61767,61767,30.81,7.37
61768,61768,30.75,7.4
61769,61769,30.75,7.37
61770,61770,30.81,7.37
61771,61771,30.81,7.36
61772,61772,30.75,7.38
61773,61773,30.81,7.38
61774,61774,30.75,7.36
61775,61775,30.75,7.38
61776,61776,30.75,7.38
61777,61777,30.69,7.36
61778,61778,30.75,7.37
61779,61779,30.75,7.37
61780,61780,30.75,7.35
61781,61781,30.75,7.39
61782,61782,30.69,7.39
61783,61783,30.75,7.39
61784,61784,30.81,7.39
61785,61785,30.69,7.39
61786,61786,30.69,7.39
61787,61787,30.75,7.39
61788,61788,30.75,7.4
61789,61789,30.75,7.38
61790,61790,30.75,7.4
61791,61791,30.75,7.41
61792,61792,30.69,7.43
61793,61793,30.69,7.42
61794,61794,30.75,7.4
61795,61795,30.75,7.39
61796,61796,30.75,7.42
61797,61797,30.75,7.42
61798,61798,30.75,7.43
61799,61799,30.75,7.44
61800,61800,30.75,7.45
61801,61801,30.75,7.43
61802,61802,30.81,7.45
61803,61803,30.75,7.46
61804,61804,30.75,7.41
