new_index,index,created_at,entry_id,temp,ph,ammonia
50400,62264,2023-08-20 01:21:33+00:00,62265,30,6.67,2.25E-05
50401,62265,2023-08-20 01:21:53+00:00,62266,29.94,6.6,1.93E-05
50402,62266,2023-08-20 01:22:14+00:00,62267,30,6.66,2.20E-05
50403,62267,2023-08-20 01:22:33+00:00,62268,29.94,6.62,2.02E-05
50404,62268,2023-08-20 01:22:54+00:00,62269,30,6.63,2.05E-05
50405,62269,2023-08-20 01:23:13+00:00,62270,30,6.64,2.10E-05
50406,62270,2023-08-20 01:23:33+00:00,62271,30,6.66,2.20E-05
50407,62271,2023-08-20 01:23:53+00:00,62272,30,6.64,2.10E-05
50408,62272,2023-08-20 01:24:13+00:00,62273,30,6.65,2.15E-05
50409,62273,2023-08-20 01:24:33+00:00,62274,30,6.65,2.15E-05
50410,62274,2023-08-20 01:24:53+00:00,62275,30,6.63,2.05E-05
50411,62275,2023-08-20 01:25:13+00:00,62276,30.06,6.68,2.29E-05
50412,62276,2023-08-20 01:25:32+00:00,62277,30,6.68,2.30E-05
50413,62277,2023-08-20 01:25:52+00:00,62278,30.06,6.66,2.19E-05
50414,62278,2023-08-20 01:26:11+00:00,62279,30.06,6.63,2.04E-05
50415,62279,2023-08-20 01:26:30+00:00,62280,30,6.66,2.20E-05
50416,62280,2023-08-20 01:26:50+00:00,62281,30.06,6.63,2.04E-05
50417,62281,2023-08-20 01:27:10+00:00,62282,30.06,6.68,2.29E-05
50418,62282,2023-08-20 01:27:30+00:00,62283,30.06,6.68,2.29E-05
50419,62283,2023-08-20 01:27:49+00:00,62284,30.06,6.68,2.29E-05
50420,62284,2023-08-20 01:28:09+00:00,62285,30.06,6.65,2.14E-05
50421,62285,2023-08-20 01:28:29+00:00,62286,30,6.65,2.15E-05
50422,62286,2023-08-20 01:28:49+00:00,62287,30,6.62,2.01E-05
50423,62287,2023-08-20 01:29:08+00:00,62288,30.12,6.63,2.03E-05
50424,62288,2023-08-20 01:29:28+00:00,62289,30.06,6.66,2.19E-05
50425,62289,2023-08-20 01:29:48+00:00,62290,30.12,6.66,2.17E-05
50426,62290,2023-08-20 01:30:07+00:00,62291,30.06,6.64,2.09E-05
50427,62291,2023-08-20 01:30:27+00:00,62292,30.06,6.68,2.29E-05
50428,62292,2023-08-20 01:30:47+00:00,62293,30.06,6.66,2.19E-05
50429,62293,2023-08-20 01:31:07+00:00,62294,30.06,6.62,1.99E-05
50430,62294,2023-08-20 01:31:27+00:00,62295,30.06,6.68,2.29E-05
50431,62295,2023-08-20 01:31:47+00:00,62296,30.12,6.64,2.07E-05
50432,62296,2023-08-20 01:32:06+00:00,62297,30.12,6.69,2.33E-05
50433,62297,2023-08-20 01:32:26+00:00,62298,30.12,6.67,2.22E-05
50434,62298,2023-08-20 01:32:46+00:00,62299,30.19,6.67,2.21E-05
50435,62299,2023-08-20 01:33:06+00:00,62300,30.06,6.68,2.29E-05
50436,62300,2023-08-20 01:33:25+00:00,62301,30.19,6.67,2.21E-05
50437,62301,2023-08-20 01:33:45+00:00,62302,30.12,6.69,2.33E-05
50438,62302,2023-08-20 01:34:05+00:00,62303,30.12,6.68,2.27E-05
50439,62303,2023-08-20 01:34:25+00:00,62304,30.12,6.69,2.33E-05
50440,62304,2023-08-20 01:34:45+00:00,62305,30.19,6.65,2.11E-05
50441,62305,2023-08-20 01:35:05+00:00,62306,30.12,6.63,2.03E-05
50442,62306,2023-08-20 01:35:21+00:00,62307,30.19,6.66,2.16E-05
50443,62307,2023-08-20 01:35:41+00:00,62308,30.19,6.64,2.06E-05
50444,62308,2023-08-20 01:36:01+00:00,62309,30.12,6.65,2.12E-05
50445,62309,2023-08-20 01:36:22+00:00,62310,30.12,6.64,2.07E-05
50446,62310,2023-08-20 01:36:42+00:00,62311,30.12,6.68,2.27E-05
50447,62311,2023-08-20 01:37:01+00:00,62312,30.12,6.62,1.98E-05
50448,62312,2023-08-20 01:37:22+00:00,62313,30.12,6.65,2.12E-05
50449,62313,2023-08-20 01:37:42+00:00,62314,30.12,6.66,2.17E-05
50450,62314,2023-08-20 01:38:03+00:00,62315,30.12,6.65,2.12E-05
50451,62315,2023-08-20 01:38:20+00:00,62316,30.19,6.63,2.01E-05
50452,62316,2023-08-20 01:38:43+00:00,62317,30.19,6.64,2.06E-05
50453,62317,2023-08-20 01:39:02+00:00,62318,30.12,6.67,2.22E-05
50454,62318,2023-08-20 01:39:23+00:00,62319,30.12,6.63,2.03E-05
50455,62319,2023-08-20 01:39:43+00:00,62320,30.19,6.63,2.01E-05
50456,62320,2023-08-20 01:40:03+00:00,62321,30.12,6.63,2.03E-05
50457,62321,2023-08-20 01:40:28+00:00,62322,30.12,6.65,2.12E-05
50458,62322,2023-08-20 01:40:47+00:00,62323,30.25,6.64,2.05E-05
50459,62323,2023-08-20 01:41:17+00:00,62324,30.19,6.63,2.01E-05
50460,62324,2023-08-20 01:41:35+00:00,62325,30.25,6.67,2.19E-05
50461,62325,2023-08-20 01:41:56+00:00,62326,30.19,6.63,2.01E-05
50462,62326,2023-08-20 01:42:21+00:00,62327,30.25,6.64,2.05E-05
50463,62327,2023-08-20 01:42:44+00:00,62328,30.25,6.65,2.09E-05
50464,62328,2023-08-20 01:43:16+00:00,62329,30.19,6.65,2.11E-05
50465,62329,2023-08-20 01:43:39+00:00,62330,30.19,6.65,2.11E-05
50466,62330,2023-08-20 01:44:00+00:00,62331,30.25,6.65,2.09E-05
50467,62331,2023-08-20 01:44:21+00:00,62332,30.25,6.64,2.05E-05
50468,62332,2023-08-20 01:44:40+00:00,62333,30.19,6.65,2.11E-05
50469,62333,2023-08-20 01:45:00+00:00,62334,30.25,6.66,2.14E-05
50470,62334,2023-08-20 01:45:20+00:00,62335,30.25,6.64,2.05E-05
50471,62335,2023-08-20 01:45:40+00:00,62336,30.25,6.67,2.19E-05
